purchase_date,total_sales_forecast,total_sales_lower_bound,total_sales_upper_bound,trend_component,weekly,sum_seasonal_components
2018-02-17,24980.790187628485,14538.127211298393,34566.99860898947,29758.74422444442,-4777.954036815937,-4777.954036815937
2018-02-18,25881.932397094122,14889.928280449456,36719.93960682953,29801.112950294028,-3919.1805531999066,-3919.1805531999066
2018-02-19,32989.27157070776,21691.3418514301,43671.969854669434,29843.48167614363,3145.789894564125,3145.789894564125
2018-02-20,32467.99158255509,23036.62933134783,42908.39504201269,29885.85040199323,2582.14118056186,2582.14118056186
2018-02-21,31679.222639409127,21533.496817775773,42320.60609337837,29928.219127842836,1751.0035115662906,1751.0035115662906
2018-02-22,30904.92386261587,21183.04682447409,41663.98839052758,29970.58785369244,934.3360089234318,934.3360089234318
2018-02-23,30296.82057394073,19394.273523995857,42034.629516774905,30012.956579542046,283.8639943986837,283.8639943986837
2018-02-24,25277.37126858041,14541.108897616221,35587.77731595776,30055.32530539165,-4777.954036811238,-4777.954036811238
2018-02-25,26178.51347803832,15862.654504533539,36733.75476895024,30097.69403124125,-3919.180553202933,-3919.180553202933
2018-02-26,33285.852651655674,22025.69335937275,44089.99298310951,30140.062757090855,3145.789894564821,3145.789894564821
2018-02-27,32764.572663500363,22826.053683046182,43370.954273871284,30182.431482940457,2582.141180559906,2582.141180559906
2018-02-28,31975.803720356726,21887.553661620663,42792.73687285094,30224.80020879006,1751.0035115666662,1751.0035115666662
2018-03-01,31185.41230350585,21026.71134852032,41339.33472271642,30251.076294586313,934.3360089195357,934.3360089195357
